Unnamed: 0,Area,Item,Year,hg/ha_yield,average_rain_fall_mm_per_year,pesticides_tonnes,avg_temp,Price
330,Angola,Maize,2008,7946,1010,40.0,24.27,39730
331,Angola,Potatoes,2008,85085,1010,40.0,24.27,255255
332,Angola,"Rice, paddy",2008,5084,1010,40.0,24.27,30504
333,Angola,Sorghum,2008,929,1010,40.0,24.27,3716
334,Angola,Soybeans,2008,8575,1010,40.0,24.27,68600
335,Angola,Sweet potatoes,2008,65437,1010,40.0,24.27,0
336,Angola,Wheat,2008,10000,1010,40.0,24.27,70000
337,Angola,Cassava,2009,151759,1010,40.0,24.33,0
338,Angola,Maize,2009,6614,1010,40.0,24.33,33070
339,Angola,Potatoes,2009,86509,1010,40.0,24.33,259527
340,Angola,"Rice, paddy",2009,6028,1010,40.0,24.33,36168
341,Angola,Sorghum,2009,2480,1010,40.0,24.33,9920
342,Angola,Soybeans,2009,4449,1010,40.0,24.33,35592
343,Angola,Sweet potatoes,2009,66475,1010,40.0,24.33,0
344,Angola,Wheat,2009,10000,1010,40.0,24.33,70000
345,Angola,Cassava,2010,155782,1010,40.0,24.44,0
346,Angola,Maize,2010,7200,1010,40.0,24.44,36000
347,Angola,Potatoes,2010,87425,1010,40.0,24.44,262275
348,Angola,"Rice, paddy",2010,7403,1010,40.0,24.44,44418
349,Angola,Sorghum,2010,2814,1010,40.0,24.44,11256
350,Angola,Soybeans,2010,4446,1010,40.0,24.44,35568
351,Angola,Sweet potatoes,2010,63001,1010,40.0,24.44,0
352,Angola,Wheat,2010,10526,1010,40.0,24.44,73682
353,Angola,Cassava,2011,133649,1010,40.0,24.15,0
354,Angola,Maize,2011,7376,1010,40.0,24.15,36880
355,Angola,Potatoes,2011,81366,1010,40.0,24.15,244098
356,Angola,"Rice, paddy",2011,8914,1010,40.0,24.15,53484
357,Angola,Sorghum,2011,3320,1010,40.0,24.15,13280
358,Angola,Soybeans,2011,5294,1010,40.0,24.15,42352
359,Angola,Sweet potatoes,2011,65512,1010,40.0,24.15,0
360,Angola,Wheat,2011,10959,1010,40.0,24.15,76713
361,Angola,Cassava,2012,100073,1010,40.0,24.24,0
362,Angola,Maize,2012,7770,1010,40.0,24.24,38850
363,Angola,Potatoes,2012,69381,1010,40.0,24.24,208143
364,Angola,"Rice, paddy",2012,7703,1010,40.0,24.24,46218
365,Angola,Sorghum,2012,998,1010,40.0,24.24,3992
366,Angola,Soybeans,2012,1641,1010,40.0,24.24,13128
367,Angola,Sweet potatoes,2012,52954,1010,40.0,24.24,0
368,Angola,Wheat,2012,11258,1010,40.0,24.24,78806
369,Angola,Cassava,2013,140517,1010,40.0,24.55,0
370,Angola,Maize,2013,9467,1010,40.0,24.55,47335
371,Angola,Potatoes,2013,63303,1010,40.0,24.55,189909
372,Angola,"Rice, paddy",2013,12744,1010,40.0,24.55,76464
373,Angola,Sorghum,2013,2415,1010,40.0,24.55,9660
374,Angola,Soybeans,2013,4405,1010,40.0,24.55,35240
375,Angola,Sweet potatoes,2013,73409,1010,40.0,24.55,0
376,Angola,Wheat,2013,9022,1010,40.0,24.55,63154
377,Argentina,Cassava,1990,100000,591,26156.0,17.46,0
378,Argentina,Cassava,1990,100000,591,26156.0,17.67,0
379,Argentina,Maize,1990,34608,591,26156.0,17.46,173040
380,Argentina,Maize,1990,34608,591,26156.0,17.67,173040
381,Argentina,Potatoes,1990,202747,591,26156.0,17.46,608241
382,Argentina,Potatoes,1990,202747,591,26156.0,17.67,608241
383,Argentina,"Rice, paddy",1990,36709,591,26156.0,17.46,220254
384,Argentina,"Rice, paddy",1990,36709,591,26156.0,17.67,220254
385,Argentina,Sorghum,1990,28116,591,26156.0,17.46,112464
386,Argentina,Sorghum,1990,28116,591,26156.0,17.67,112464
387,Argentina,Soybeans,1990,21566,591,26156.0,17.46,172528
388,Argentina,Soybeans,1990,21566,591,26156.0,17.67,172528
389,Argentina,Sweet potatoes,1990,131864,591,26156.0,17.46,0
390,Argentina,Sweet potatoes,1990,131864,591,26156.0,17.67,0
391,Argentina,Wheat,1990,18947,591,26156.0,17.46,132629
392,Argentina,Wheat,1990,18947,591,26156.0,17.67,132629
393,Argentina,Cassava,1991,100000,591,26156.0,17.64,0
394,Argentina,Cassava,1991,100000,591,26156.0,17.86,0
395,Argentina,Maize,1991,40444,591,26156.0,17.64,202220
396,Argentina,Maize,1991,40444,591,26156.0,17.86,202220
397,Argentina,Potatoes,1991,205692,591,26156.0,17.64,617076
398,Argentina,Potatoes,1991,205692,591,26156.0,17.86,617076
399,Argentina,"Rice, paddy",1991,40294,591,26156.0,17.64,241764
400,Argentina,"Rice, paddy",1991,40294,591,26156.0,17.86,241764
401,Argentina,Sorghum,1991,33320,591,26156.0,17.64,133280
402,Argentina,Sorghum,1991,33320,591,26156.0,17.86,133280
403,Argentina,Soybeans,1991,22750,591,26156.0,17.64,182000
404,Argentina,Soybeans,1991,22750,591,26156.0,17.86,182000
405,Argentina,Sweet potatoes,1991,131364,591,26156.0,17.64,0
406,Argentina,Sweet potatoes,1991,131364,591,26156.0,17.86,0
407,Argentina,Wheat,1991,18972,591,26156.0,17.64,132804
408,Argentina,Wheat,1991,18972,591,26156.0,17.86,132804
409,Argentina,Cassava,1992,100000,591,26156.0,17.09,0
410,Argentina,Cassava,1992,100000,591,26156.0,17.51,0
411,Argentina,Maize,1992,45237,591,26156.0,17.09,226185
412,Argentina,Maize,1992,45237,591,26156.0,17.51,226185
413,Argentina,Potatoes,1992,199039,591,26156.0,17.09,597117
414,Argentina,Potatoes,1992,199039,591,26156.0,17.51,597117
415,Argentina,"Rice, paddy",1992,52075,591,26156.0,17.09,312450
416,Argentina,"Rice, paddy",1992,52075,591,26156.0,17.51,312450
417,Argentina,Sorghum,1992,36217,591,26156.0,17.09,144868
